,Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os
0,2014-09-17,0.0003,0.0003,0.0003,0.0003,0.0003,"1,463,600",0.0,0,,,,,,
1,2014-09-18,0.0003,0.0003,0.0003,0.0003,0.0003,"2,215,910",0.0,0,,,,,,
2,2014-09-19,0.0003,0.0003,0.0003,0.0003,0.0003,"883,563",0.0,0,,,,,,
3,2014-09-20,0.0003,0.0003,0.0003,0.0003,0.0003,"993,004",0.0,0,,0.0,,,,
4,2014-09-21,0.0003,0.0003,0.0003,0.0003,0.0003,"539,140",0.0,0,,0.0,,,,
5,2014-09-22,0.0003,0.0003,0.0003,0.0003,0.0003,"620,222",0.0,0,,0.0,0.0,,,
6,2014-09-23,0.0003,0.0003,0.0003,0.0003,0.0003,"739,197",0.0,0,,0.0,0.0,,,
7,2014-09-24,0.0003,0.0004,0.0003,0.0003,0.0003,"1,277,840",0.0,0,,0.0,0.0,,,
8,2014-09-25,0.0003,0.0004,0.0003,0.0004,0.0004,"2,393,610",0.00010000000000000005,1,,0.33333333333333354,0.33333333333333354,,,
9,2014-09-26,0.0004,0.0005,0.0004,0.0005,0.0005,"4,722,610",9.999999999999999e-05,1,,0.6666666666666669,0.6666666666666669,,,
10,2014-09-27,0.0004,0.0005,0.0004,0.0004,0.0004,"2,907,080",0.0,0,,0.33333333333333354,0.33333333333333354,0.33333333333333354,,
11,2014-09-28,0.0004,0.0004,0.0004,0.0004,0.0004,"2,115,710",0.0,0,,0.0,0.33333333333333354,0.33333333333333354,,
12,2014-09-29,0.0004,0.0004,0.0004,0.0004,0.0004,"1,169,070",0.0,0,,-0.19999999999999998,0.33333333333333354,0.33333333333333354,,
13,2014-09-30,0.0004,0.0004,0.0004,0.0004,0.0004,"760,341",0.0,0,,0.0,0.0,0.33333333333333354,,
14,2014-10-01,0.0004,0.0004,0.0004,0.0004,0.0004,"1,031,360",0.0,0,,0.0,-0.19999999999999998,0.33333333333333354,-49.999999999999986,50.000000000000014
15,2014-10-02,0.0004,0.0004,0.0003,0.0003,0.0003,"1,307,610",-0.00010000000000000005,0,,-0.2500000000000001,-0.2500000000000001,0.0,-100.0,0.0
16,2014-10-03,0.0003,0.0003,0.0003,0.0003,0.0003,"1,150,090",0.0,0,,-0.2500000000000001,-0.2500000000000001,0.0,-100.0,0.0
17,2014-10-04,0.0003,0.0003,0.0003,0.0003,0.0003,"730,468",0.0,0,,-0.2500000000000001,-0.2500000000000001,0.0,-100.0,0.0
18,2014-10-05,0.0003,0.0003,0.0003,0.0003,0.0003,"1,125,540",0.0,0,,0.0,-0.2500000000000001,-0.2500000000000001,-100.0,0.0
19,2014-10-06,0.0003,0.0003,0.0003,0.0003,0.0003,"1,317,300",0.0,0,,0.0,-0.2500000000000001,-0.4000000000000001,-100.0,0.0
