date,count,compound,neg,neu,pos,retweets_count,likes_count,replies_count,compound_weighted_replies,compound_weighted_likes,compound_weighted_retweets
2014-02-15,2,-0.296,0.121,0.879,0.0,52,46,4,-0.296,-0.296,-0.296
2014-04-17,1,0.0,0.0,1.0,0.0,3,11,2,0.0,0.0,0.0
2014-04-26,2,0.0,0.0,1.0,0.0,77,50,4,0.0,0.0,0.0
2014-04-27,1,0.0,0.0,1.0,0.0,12,20,0,,0.0,0.0
2014-04-29,2,0.4574,0.0,0.834,0.166,56,60,0,,0.4574,0.4574
2014-05-01,2,0.6705,0.0,0.732,0.268,30,36,0,,0.6705,0.6705
2014-05-04,2,0.5859,0.0,0.743,0.257,160,114,4,0.5859,0.5859,0.5859
2014-05-05,1,0.0,0.0,1.0,0.0,19,17,2,0.0,0.0,0.0
2014-05-16,2,0.7906,0.0,0.731,0.269,72,62,12,0.7906,0.7906,0.7906
2014-05-17,3,0.6090666666666666,0.0,0.6573333333333333,0.3426666666666667,40,81,0,,0.6316246913580247,0.41112000000000004
2014-05-18,1,0.4404,0.0,0.847,0.153,32,35,0,,0.4404,0.4404
2014-05-31,1,0.3612,0.0,0.857,0.143,22,16,4,0.3612,0.3612,0.3612
2014-06-06,1,0.802,0.0,0.709,0.291,18,20,0,,0.8019999999999999,0.802
2014-07-11,2,0.0,0.0,1.0,0.0,38,40,6,0.0,0.0,0.0
2014-07-17,1,0.0,0.0,1.0,0.0,19,16,2,0.0,0.0,0.0
2014-07-21,2,0.0,0.0,1.0,0.0,84,58,2,0.0,0.0,0.0
2014-07-24,2,-0.8313,0.386,0.614,0.0,20,30,4,-0.8313,-0.8313,-0.8313
2014-07-30,1,0.0,0.0,1.0,0.0,27,24,26,0.0,0.0,0.0
2014-08-02,2,0.0,0.0,1.0,0.0,42,44,12,0.0,0.0,0.0
2014-08-07,1,0.0,0.0,1.0,0.0,27,23,6,0.0,0.0,0.0
2014-08-08,2,0.7494,0.0,0.749,0.251,34,42,6,0.7494,0.7494,0.7494
2014-08-09,1,0.8065,0.0,0.742,0.258,23,14,0,,0.8065,0.8064999999999999
2014-09-06,2,0.5266,0.0,0.812,0.188,30,36,0,,0.5266,0.5266
2014-09-13,2,0.0,0.0,1.0,0.0,60,52,8,0.0,0.0,0.0
2014-09-23,2,0.4404,0.0,0.838,0.162,292,158,44,0.4404,0.4404,0.4404
2014-09-28,1,0.7959,0.0,0.693,0.307,8,12,0,,0.7959,0.7959
2014-10-23,5,0.0,0.0,1.0,0.0,72,88,0,,0.0,0.0
2014-11-02,2,0.4574,0.0,0.824,0.176,42,48,0,,0.4574,0.4574
2014-12-01,2,0.1027,0.0,0.935,0.065,38,38,0,,0.1027,0.1027
2014-12-16,1,0.743,0.0,0.741,0.259,105,31,122,0.743,0.743,0.743
2014-12-18,2,0.5106,0.0,0.829,0.171,46,56,2,0.5106,0.5106,0.5106
2015-01-08,2,0.4404,0.0,0.828,0.172,3774,854,2,0.4404,0.44039999999999996,0.4404
2015-01-09,1,0.3818,0.0,0.833,0.167,773,326,1,0.3818,0.3818,0.3818
2015-02-05,2,0.7096,0.0,0.704,0.296,8580,3222,8,0.7096,0.7096,0.7096
2015-02-12,3,0.2732,0.0,0.87,0.13,4919,4808,3,0.2732,0.2732,0.2732
2015-02-27,1,0.0,0.0,1.0,0.0,7,15,0,,0.0,0.0
2015-03-06,2,0.56475,0.0,0.793,0.20700000000000002,16,32,0,,0.5467125,0.4926
2015-03-11,1,0.1511,0.0,0.914,0.086,13,18,2,0.1511,0.1511,0.1511
2015-04-08,1,0.7783,0.0,0.673,0.327,1,14,0,,0.7783,0.7783
2015-04-29,1,0.7003,0.0,0.655,0.345,0,4,1,0.7003,0.7003,
2015-05-01,2,0.0,0.0,1.0,0.0,48,56,4,0.0,0.0,0.0
2015-06-05,4,0.6588,0.0,0.732,0.268,64,88,4,0.6588,0.6588,0.6588
2015-06-27,2,-0.6908,0.251,0.749,0.0,82,56,10,-0.6908,-0.6908,-0.6908
2015-07-06,1,-0.1027,0.097,0.903,0.0,21,18,0,,-0.1027,-0.10269999999999999
2015-09-12,2,0.2023,0.0,0.904,0.096,26,32,0,,0.2023,0.2023
2015-09-22,1,0.0,0.0,1.0,0.0,13,14,0,,0.0,0.0
2015-10-08,1,-0.128,0.091,0.909,0.0,15,18,0,,-0.128,-0.128
2015-12-15,2,-0.1759,0.115,0.885,0.0,26,26,0,,-0.1759,-0.1759
2015-12-16,2,-0.1759,0.115,0.885,0.0,26,26,0,,-0.1759,-0.1759
2015-12-17,2,-0.1759,0.124,0.876,0.0,28,28,0,,-0.1759,-0.1759
2015-12-20,1,0.0,0.0,1.0,0.0,9,9,1,0.0,0.0,0.0
2015-12-30,2,-0.1027,0.091,0.909,0.0,28,28,0,,-0.1027,-0.1027
2016-01-06,1,0.0,0.0,1.0,0.0,18,15,0,,0.0,0.0
2016-01-20,2,0.6937500000000001,0.029,0.7210000000000001,0.25,0,32,0,,0.6937500000000001,
2016-01-24,3,0.5719,0.0,0.802,0.19800000000000004,24,54,15,0.5718999999999999,0.5719,0.5719
2016-03-01,3,0.0,0.0,1.0,0.0,240,216,0,,0.0,0.0
2016-03-02,3,0.128,0.0,0.8969999999999999,0.103,93,84,0,,0.128,0.128
2016-03-10,3,0.7845,0.0,0.635,0.365,336,168,0,,0.7845,0.7845
2016-03-21,4,0.3182,0.0,0.85,0.15,116,76,0,,0.3182,0.3182
2016-05-30,1,-0.6981,0.285,0.715,0.0,21,20,0,,-0.6981,-0.6981
2016-06-22,3,0.0,0.0,1.0,0.0,27,66,3,0.0,0.0,0.0
2016-07-26,3,-0.4574,0.17899999999999996,0.734,0.08700000000000001,15,45,6,-0.4574,-0.4574,-0.4574
2016-08-17,2,0.0,0.0,1.0,0.0,34,46,4,0.0,0.0,0.0
2016-09-29,1,0.0,0.0,1.0,0.0,25,24,0,,0.0,0.0
2016-11-06,3,0.7096,0.0,0.718,0.282,5610,1434,6,0.7096,0.7096,0.7096
2016-12-23,1,0.0,0.0,1.0,0.0,8,17,4,0.0,0.0,0.0
2017-01-28,3,-0.3089,0.224,0.641,0.135,54,120,9,-0.3089,-0.3089,-0.30889999999999995
2017-04-29,6,0.5417,0.073,0.709,0.218,2819,2527,0,,0.5417,0.5417
2017-05-02,11,0.5416999999999998,0.07299999999999998,0.7089999999999997,0.218,2538,2402,12,0.5417,0.5417,0.5417000000000001
2017-05-20,1,0.9087,0.0,0.743,0.257,17,27,7,0.9087,0.9087000000000001,0.9087
2017-06-04,3,0.0,0.0,1.0,0.0,45,132,30,0.0,0.0,0.0
2017-06-06,2,0.743,0.0,0.657,0.343,16,36,2,0.743,0.743,0.743
2017-06-17,4,0.3382,0.0,0.8765000000000001,0.1235,780,528,20,0.3382,0.33819999999999995,0.3382
2017-06-18,3,0.6369,0.0,0.828,0.17200000000000001,51,111,30,0.6369,0.6368999999999999,0.6369
2017-06-21,1,0.0,0.0,1.0,0.0,14,28,4,0.0,0.0,0.0
2017-06-25,1,-0.1027,0.076,0.924,0.0,102,85,0,,-0.1027,-0.1027
2017-06-30,1,0.5106,0.0,0.864,0.136,81,43,30,0.5106,0.5106,0.5106
2017-07-03,3,0.7963999999999999,0.0,0.647,0.353,72,33,12,0.7963999999999999,0.7964000000000001,0.7963999999999999
2017-07-17,3,0.0,0.0,1.0,0.0,9,72,0,,0.0,0.0
2017-08-01,1,-0.4019,0.114,0.886,0.0,74,133,8,-0.4019,-0.4019,-0.4019
2017-08-03,1,0.34,0.0,0.888,0.112,39,35,0,,0.34,0.34
2017-08-05,1,0.6114,0.0,0.556,0.444,2,22,0,,0.6114,0.6114
2017-08-19,4,0.6249,0.0,0.83,0.17,36,88,12,0.6249,0.6249,0.6249
2017-08-24,4,0.0,0.0,1.0,0.0,28,100,4,0.0,0.0,0.0
2017-08-31,4,-0.314675,0.17324999999999996,0.82675,0.0,692,702,1,-0.2732,-0.3143205128205128,-0.31515447976878613
2017-09-12,3,0.0,0.0,1.0,0.0,816,825,9,0.0,0.0,0.0
2017-09-25,5,0.1313,0.0,0.954,0.046,202,165,18,0.07294444444444444,0.09946969696969696,0.0715
2017-09-27,1,0.3595,0.0,0.872,0.128,36,42,0,,0.3595,0.3595
2017-10-06,3,0.466,0.0,0.868,0.132,63,90,0,,0.46599999999999997,0.4660000000000001
2017-10-16,3,0.0,0.0,1.0,0.0,111,137,12,0.0,0.0,0.0
2017-10-17,3,0.0,0.0,1.0,0.0,51,90,6,0.0,0.0,0.0
2017-11-01,1,0.5994,0.0,0.576,0.424,8,20,1,0.5994,0.5994,0.5994
2017-11-23,7,-0.24824285714285718,0.1824285714285714,0.7618571428571429,0.055714285714285716,41,157,11,-0.3755363636363638,-0.2341216560509554,-0.1799390243902439
2017-11-24,5,0.4574,0.223,0.571,0.207,624,1115,50,0.4574,0.4574,0.4574
