,Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os,Daily_Change_Perc,Weekly_Change,Weekly_Change_Perc,RSI,streak,Close/Last_Gold,Open_Gold,Daily_Change_Gold,Daily_Change_Perc_Gold,Increased_Gold,RSI_Gold,Close/Last_SP500,Open_SP500,Daily_Change_SP500,Daily_Change_Perc_SP500,Increased_SP500,RSI_SP500,label,count,compound,compound_times_retweets,likes_count,neg,neg_times_retweets,neu,pos,pos_times_retweets,replies_count,retweets_count,pos_weighted,neg_weighted,compound_weighted,count_avg7,count_daily_diff,count_weekly_diff,replies_count_avg7,replies_count_daily_diff,replies_count_weekly_diff,retweets_count_avg7,retweets_count_daily_diff,retweets_count_weekly_diff,likes_count_avg7,likes_count_daily_diff,likes_count_weekly_diff,compound_weighted_avg7,compound_weighted_daily_diff,compound_weighted_weekly_diff,pos_weighted_avg7,pos_weighted_daily_diff,pos_weighted_weekly_diff,neg_weighted_avg7,neg_weighted_daily_diff,neg_weighted_weekly_diff,goog_trend_score
1528,2020-11-05,0.0025,0.0026,0.0025,0.0026,0.0026,"31,611,962",9.999999999999984e-05,1,-3.175818286995898e-05,0.0399999999999999,0.0,-0.0370370370370371,-50.000000000000114,49.999999999999886,0.03999999999999994,0.0,0.0,48.459279786751004,1.0,1946.8,1903.4,43.39999999999986,0.022801302931596,1,59.35891857309366,3510.45,3485.74,24.71000000000004,0.0070888821311974,1,33.93506154912663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
1185,2019-06-28,0.0033,0.0035,0.0033,0.0035,0.0035,"65,310,777",0.0002,1,8.71048931243238e-05,0.0294117647058824,0.0606060606060606,0.1290322580645161,33.33333333333343,133.33333333333343,0.06060606060606061,0.0002999999999999999,0.09374999999999997,67.47057809857031,1.0,1409.7,1413.3,-3.599999999999909,-0.0025472298874972,0,76.47445158851846,2941.76,2932.94,8.820000000000164,0.0030072214228726,1,42.52824543514288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
685,2017-07-03,0.0025,0.0026,0.0024,0.0025,0.0025,"7,488,410",0.0,0,-0.0001052539922564,-0.0384615384615383,-0.1071428571428571,-0.1935483870967741,-100.0,0.0,0.0,-0.0005,-0.16666666666666666,39.15565302084872,-5.0,1219.2,1220.1,-0.8999999999998636,-0.0007376444553723,0,31.39541470309311,2429.01,2431.39,-2.3799999999996544,-0.0009788639420247,0,38.66001701501873,1.0,3.0,0.7963999999999999,57.3408,33.0,0.0,0.0,0.647,0.353,25.416,12.0,72.0,0.353,0.0,0.7963999999999999,2.142857142857143,2.0,0.8571428571428572,14.0,-18.0,-2.0,159.42857142857142,-9.0,-87.42857142857142,123.42857142857144,-10.0,-90.42857142857144,0.4174857142857143,0.2857999999999998,0.3789142857142856,0.1611047619047619,0.2169999999999999,0.1918952380952381,0.0108571428571428,0.0,-0.0108571428571428,49
1054,2018-12-19,0.0027,0.0028,0.0026,0.0027,0.0027,"29,874,095",0.0,0,-3.705615187297225e-05,0.2857142857142858,0.2857142857142858,0.2857142857142858,-0.0,100.0,0.0,0.0006000000000000003,0.28571428571428586,67.37168360730377,-1.0,1256.4,1253.5,2.900000000000091,0.0023135221380136,1,63.08394941275368,2506.96,2547.05,-40.09000000000015,-0.0157397773895291,0,45.040921779576216,0.0,5.0,0.7512000000000001,24.7632,123.0,0.0,0.0,0.7838,0.2162,7.053000000000001,3.0,33.0,0.2137272727272727,0.0,0.7504,2.4285714285714284,4.0,2.571428571428572,7.142857142857143,2.0,-4.142857142857143,19.142857142857142,20.0,13.857142857142858,76.0,86.0,47.0,0.0,0.0415999999999999,0.0,0.0,0.0407272727272727,0.0,0.0,0.0,0.0,75
1112,2019-03-15,0.002,0.0021,0.002,0.002,0.002,"14,469,793",0.0,0,-3.519148303000527e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.47395939906634,-21.0,1302.9,1295.6,7.300000000000182,0.0056344550787281,1,49.44272344407564,2822.48,2810.79,11.690000000000056,0.0041589731000893,1,41.76647497616156,0.0,4.0,0.763325,394.66239999999993,625.0,0.0,0.0,0.7105000000000001,0.2895,138.95999999999998,175.0,442.0,0.3143891402714932,0.0,0.8929013574660633,2.571428571428572,1.0,1.4285714285714284,31.285714285714285,154.0,143.71428571428572,95.71428571428572,424.0,346.2857142857143,188.42857142857144,523.0,436.57142857142856,0.3590287653522948,0.8929013574660633,0.5338725921137685,0.1197698771816419,0.3143891402714932,0.1946192630898512,0.0,0.0,0.0,62
677,2017-06-21,0.0032,0.0033,0.0031,0.0031,0.0031,"14,635,800",-0.0001,0,0.0001655385756242,-0.03125,-0.03125,-0.1388888888888889,-83.33333333333336,16.666666666666643,-0.03125,-0.0002000000000000001,-0.060606060606060635,51.95132357667203,-4.0,1245.8,1243.9,1.899999999999864,0.0015274539753998,1,41.43446078164067,2435.61,2439.31,-3.699999999999818,-0.0015168223800992,0,46.718762126179065,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,3.571428571428572,-2.0,-2.571428571428572,15.0,-26.0,-11.0,494.4285714285714,-37.0,-480.4285714285714,466.2857142857143,-83.0,-438.2857142857143,0.4526428571428571,-0.6369,-0.4526428571428571,0.1591047619047619,-0.172,-0.1591047619047619,0.0104285714285714,0.0,-0.0104285714285714,49
675,2017-06-19,0.0032,0.0033,0.0031,0.0031,0.0031,"12,364,900",-0.0001,0,0.0002045689478888,-0.03125,0.0,-0.1142857142857143,-88.8888888888889,11.111111111111097,-0.03125,-0.0005,-0.1388888888888889,52.26972719625132,-2.0,1246.7,1255.8,-9.099999999999907,-0.0072463768115941,0,41.30666832326708,2453.46,2442.55,10.909999999999854,0.0044666434668685,1,54.79444409354336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
1617,2021-03-17,0.0586,0.0589,0.0565,0.0577,0.0577,"861,926,642",-0.0008999999999999,0,0.0022681623441664,-0.0153583617747439,0.0433996383363471,0.1074856046065259,-36.71874999999997,63.28125000000004,-0.015358361774742322,-0.00030000000000000165,-0.005172413793103477,54.46943153714539,-1.0,1727.1,1730.0,-2.900000000000091,-0.0016763005780347,0,41.25306279224231,3974.12,3949.57,24.549999999999727,0.0062158665373698,1,42.506952564069415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1202,2019-07-24,0.0029,0.0029,0.0028,0.0029,0.0029,"23,840,681",0.0,0,-9.131226257695548e-05,-0.064516129032258,-0.064516129032258,-0.0333333333333334,-83.33333333333336,16.666666666666643,0.0,9.999999999999983e-05,0.03571428571428566,40.63252725707645,-6.0,1436.5,1431.0,5.5,0.003843466107617,1,68.64003441055186,3019.56,2998.77,20.789999999999964,0.0069328424654108,1,60.096093238134095,0.0,9.0,0.7983666666666667,623.8756999999999,1140.0,0.0,0.0,0.7803333333333333,0.2196666666666666,121.175,1121.0,785.0,0.1543630573248408,0.0,0.7947461146496815,5.0,0.0,4.0,347.0,985.0,774.0,326.57142857142856,312.0,458.4285714285714,548.8571428571429,51.0,591.1428571428571,0.6370998300299907,0.3857456918167004,0.1576462846196907,0.1599574074644064,0.0609106260352002,-0.0055943501395656,0.0124415584415584,-0.0058181818181818,-0.0124415584415584,28
1163,2019-05-29,0.0031,0.0032,0.0031,0.0031,0.0031,"74,244,761",0.0,0,9.479082995502612e-05,0.0,0.0333333333333332,-0.03125,-50.0,50.0,0.0,0.0,0.0,57.93345770843227,-3.0,1286.3,1284.3,2.0,0.0015572685509616,1,50.250839077248415,2783.02,2790.25,-7.230000000000018,-0.0025911656661589,0,30.944411770685576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
